ano,mes,ONI,data
1972,5,0.38,1972-05-01
1972,6,0.45,1972-06-01
1972,7,0.85,1972-07-01
1972,8,1.09,1972-08-01
1972,9,1.23,1972-09-01
1972,10,1.54,1972-10-01
1972,11,1.9,1972-11-01
1972,12,2.09,1972-12-01
1973,1,1.8,1973-01-01
1973,2,1.2,1973-02-01
1973,3,0.27,1973-03-01
1973,4,-0.58,1973-04-01
1973,5,-0.97,1973-05-01
1973,6,-1.18,1973-06-01
1973,7,-1.54,1973-07-01
1973,8,-1.63,1973-08-01
1973,9,-1.66,1973-09-01
1973,10,-1.98,1973-10-01
1973,11,-2.37,1973-11-01
1973,12,-2.26,1973-12-01
1974,1,-2.09,1974-01-01
1974,2,-1.66,1974-02-01
1974,3,-1.45,1974-03-01
1974,4,-1.36,1974-04-01
1974,5,-1.29,1974-05-01
1974,6,-1.2,1974-06-01
1974,7,-0.9,1974-07-01
1974,8,-0.52,1974-08-01
1974,9,-0.64,1974-09-01
1974,10,-0.94,1974-10-01
1974,11,-1.09,1974-11-01
1974,12,-0.97,1974-12-01
1975,1,-0.45,1975-01-01
1975,2,-0.68,1975-02-01
1975,3,-1.09,1975-03-01
1975,4,-0.96,1975-04-01
1975,5,-1.13,1975-05-01
1975,6,-1.5,1975-06-01
1975,7,-1.39,1975-07-01
1975,8,-1.52,1975-08-01
1975,9,-1.66,1975-09-01
1975,10,-1.83,1975-10-01
1975,11,-1.66,1975-11-01
1975,12,-1.93,1975-12-01
1976,1,-2.01,1976-01-01
1976,2,-1.26,1976-02-01
1976,3,-0.82,1976-03-01
1976,4,-0.93,1976-04-01
1976,5,-0.74,1976-05-01
1976,6,-0.38,1976-06-01
1976,7,-0.16,1976-07-01
1976,8,0.12,1976-08-01
1976,9,0.3,1976-09-01
1976,10,0.75,1976-10-01
1976,11,0.71,1976-11-01
1976,12,0.49,1976-12-01
1977,1,0.78,1977-01-01
1977,2,0.37,1977-02-01
1977,3,0.19,1977-03-01
1977,4,-0.38,1977-04-01
1977,5,-0.21,1977-05-01
1977,6,0.01,1977-06-01
1977,7,0.09,1977-07-01
1977,8,-0.01,1977-08-01
1977,9,0.4,1977-09-01
1977,10,0.63,1977-10-01
1977,11,0.48,1977-11-01
1977,12,0.7,1977-12-01
1978,1,0.62,1978-01-01
1978,2,0.25,1978-02-01
1978,3,-0.2,1978-03-01
1978,4,-0.7,1978-04-01
1978,5,-0.74,1978-05-01
1978,6,-0.71,1978-06-01
1978,7,-0.55,1978-07-01
1978,8,-0.79,1978-08-01
1978,9,-0.71,1978-09-01
1978,10,-0.46,1978-10-01
1978,11,-0.38,1978-11-01
1978,12,-0.06,1978-12-01
1979,1,-0.13,1979-01-01
1979,2,-0.22,1979-02-01
1979,3,-0.02,1979-03-01
1979,4,0.02,1979-04-01
1979,5,-0.25,1979-05-01
1979,6,-0.29,1979-06-01
1979,7,-0.47,1979-07-01
1979,8,-0.1,1979-08-01
1979,9,0.28,1979-09-01
1979,10,0.11,1979-10-01
1979,11,0.29,1979-11-01
1979,12,0.52,1979-12-01
1980,1,0.54,1980-01-01
1980,2,0.22,1980-02-01
1980,3,0.03,1980-03-01
1980,4,-0.07,1980-04-01
1980,5,0.08,1980-05-01
1980,6,0.21,1980-06-01
1980,7,-0.06,1980-07-01
1980,8,-0.38,1980-08-01
1980,9,-0.28,1980-09-01
1980,10,-0.26,1980-10-01
1980,11,-0.1,1980-11-01
1980,12,0.05,1980-12-01
1981,1,-0.36,1981-01-01
1981,2,-0.64,1981-02-01
1981,3,-0.64,1981-03-01
1981,4,-0.53,1981-04-01
1981,5,-0.57,1981-05-01
1981,6,-0.46,1981-06-01
1981,7,-0.64,1981-07-01
1981,8,-0.53,1981-08-01
1981,9,-0.19,1981-09-01
1981,10,-0.3,1981-10-01
1981,11,-0.41,1981-11-01
1981,12,-0.2,1981-12-01
1982,1,0.13,1982-01-01
1982,2,-0.17,1982-02-01
1982,3,0.13,1982-03-01
1982,4,0.21,1982-04-01
1982,5,0.45,1982-05-01
1982,6,0.53,1982-06-01
1982,7,0.37,1982-07-01
1982,8,0.73,1982-08-01
1982,9,1.49,1982-09-01
1982,10,1.99,1982-10-01
1982,11,1.92,1982-11-01
1982,12,2.2,1982-12-01
1983,1,2.35,1983-01-01
1983,2,1.94,1983-02-01
1983,3,1.38,1983-03-01
1983,4,0.95,1983-04-01
1983,5,0.9,1983-05-01
1983,6,0.54,1983-06-01
1983,7,-0.11,1983-07-01
1983,8,-0.27,1983-08-01
1983,9,-0.52,1983-09-01
1983,10,-1.16,1983-10-01
1983,11,-1.29,1983-11-01
1983,12,-1.03,1983-12-01
1984,1,-0.67,1984-01-01
1984,2,-0.19,1984-02-01
1984,3,-0.52,1984-03-01
1984,4,-0.68,1984-04-01
1984,5,-0.73,1984-05-01
1984,6,-0.9,1984-06-01
1984,7,-0.5,1984-07-01
1984,8,-0.24,1984-08-01
1984,9,-0.34,1984-09-01
1984,10,-0.67,1984-10-01
1984,11,-1.19,1984-11-01
1984,12,-1.34,1984-12-01
1985,1,-1.16,1985-01-01
1985,2,-0.72,1985-02-01
1985,3,-0.79,1985-03-01
1985,4,-1.18,1985-04-01
1985,5,-1.03,1985-05-01
1985,6,-0.91,1985-06-01
1985,7,-0.74,1985-07-01
1985,8,-0.56,1985-08-01
1985,9,-0.7,1985-09-01
1985,10,-0.49,1985-10-01
1985,11,-0.37,1985-11-01
1985,12,-0.41,1985-12-01
1986,1,-0.66,1986-01-01
1986,2,-0.71,1986-02-01
1986,3,-0.42,1986-03-01
1986,4,-0.33,1986-04-01
1986,5,-0.53,1986-05-01
1986,6,-0.31,1986-06-01
1986,7,-0.11,1986-07-01
1986,8,0.32,1986-08-01
1986,9,0.53,1986-09-01
1986,10,0.81,1986-10-01
1986,11,1.01,1986-11-01
1986,12,1.12,1986-12-01
1987,1,1.14,1987-01-01
1987,2,1.13,1987-02-01
1987,3,0.98,1987-03-01
1987,4,0.58,1987-04-01
1987,5,0.62,1987-05-01
1987,6,0.92,1987-06-01
1987,7,1.29,1987-07-01
1987,8,1.57,1987-08-01
1987,9,1.65,1987-09-01
1987,10,1.24,1987-10-01
1987,11,1.07,1987-11-01
1987,12,0.94,1987-12-01
1988,1,0.9,1988-01-01
1988,2,0.28,1988-02-01
1988,3,0.1,1988-03-01
1988,4,-0.44,1988-04-01
1988,5,-1.25,1988-05-01
1988,6,-1.74,1988-06-01
1988,7,-1.74,1988-07-01
1988,8,-1.19,1988-08-01
1988,9,-1.0,1988-09-01
1988,10,-1.9,1988-10-01
1988,11,-2.05,1988-11-01
1988,12,-1.96,1988-12-01
1989,1,-1.97,1989-01-01
1989,2,-1.47,1989-02-01
1989,3,-1.21,1989-03-01
1989,4,-1.08,1989-04-01
1989,5,-0.88,1989-05-01
1989,6,-0.59,1989-06-01
1989,7,-0.57,1989-07-01
1989,8,-0.53,1989-08-01
1989,9,-0.3,1989-09-01
1989,10,-0.4,1989-10-01
1989,11,-0.45,1989-11-01
1989,12,-0.13,1989-12-01
1990,1,0.01,1990-01-01
1990,2,0.21,1990-02-01
1990,3,0.04,1990-03-01
1990,4,0.08,1990-04-01
1990,5,0.08,1990-05-01
